标题,小区名,房屋详情,关注人数/发布时间,总价,单价,经度,纬度,格式化地址,地址级别
幸福里大三房 好楼层 前排无遮挡 看房预约,华润幸福里 ,3室1厅 | 115.32平米 | 南 北 | 其他 | 中楼层(共26层)  | 塔楼,2人关注 / 1个月以前发布,212万,"18,384元/平",118.888859,32.130680,江苏省南京市栖霞区华润幸福里,住宅区
麒麟科创园 花港幸福城 金桂园三房 拎包入住 南北通,花港幸福城金桂园 ,3室2厅 | 88.26平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,9人关注 / 一年前发布,90万,"10,198元/平",118.912147,32.039149,江苏省南京市栖霞区花港·幸福城金桂园,住宅区
诚园一期 配套齐全 出行便利 电梯可直达3号地铁口,翠屏诚园 ,3室2厅 | 118.89平米 | 南 | 精装 | 22层  | 塔楼,19人关注 / 7个月以前发布,288万,"24,225元/平",118.833824,31.869836,江苏省南京市江宁区翠屏诚园,住宅区
永欣新寓海棠苑 3室1厅 南 北,永欣新寓海棠苑 ,3室1厅 | 111.19平米 | 南 北 | 其他 | 低楼层(共15层)  | 板塔结合,0人关注 / 1个月以前发布,70万,"6,296元/平",118.863907,31.766428,江苏省南京市江宁区永欣新寓海棠苑,住宅区
东山主城区 正规三房房型方正 明厨明卫 采光充足,利民小区 ,3室1厅 | 91.26平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 26天以前发布,139万,"15,232元/平",118.758459,32.026065,江苏省南京市建邺区利民小区,住宅区
秋湖嘉苑二期，一房一厅一卫，好楼层，采光好,秋湖嘉苑二期 ,1室1厅 | 62.1平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,6人关注 / 5个月以前发布,23.5万,"3,785元/平",119.069573,31.609670,江苏省南京市溧水区秋湖嘉苑二期,住宅区
正荣润江城 满5 诚售 采光视野无遮无挡,正荣润江城 ,3室2厅 | 86.5平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,4人关注 / 3个月以前发布,230万,"26,590元/平",118.673937,32.058662,江苏省南京市浦口区正荣·润江城,住宅区
东山主城区 正规三房房型方正 明厨明卫 采光充足,利民小区 ,3室1厅 | 91.26平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 26天以前发布,139万,"15,232元/平",118.758459,32.026065,江苏省南京市建邺区利民小区,住宅区
精装修自住用房 置换城里房子 换房出售,盛江花苑樱花园 ,3室2厅 | 110.94平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 16天以前发布,89万,"8,023元/平",118.600822,31.862469,江苏省南京市江宁区盛江花苑樱花园,住宅区
2004年房龄  20平地下室  双卧朝南  采光好,凤凰西街146号 ,2室1厅 | 80.65平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 2个月以前发布,248万,"30,751元/平",118.749752,32.041122,江苏省南京市鼓楼区凤凰西街146号,门址
适合居家养老 客厅宽敞方正 采光好 ，视线好...,翠屏城 ,3室2厅 | 84.93平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,3人关注 / 4个月以前发布,62万,"7,301元/平",118.857791,31.795260,江苏省南京市江宁区奥斯博恩庄园,住宅区
扬子江隧道口大新嘉苑小区76平两房低楼层适合老人居住,大新嘉苑 ,2室1厅 | 76.03平米 | 南 | 毛坯 | 低楼层(共28层)  | 塔楼,0人关注 / 2个月以前发布,78万,"10,260元/平",118.708576,32.096860,江苏省南京市浦口区大新嘉苑,住宅区
柳州地铁口  环境优美 适宜居住 近学 生活便捷,威尼斯水城第三街区 ,3室2厅 | 119.25平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,10人关注 / 6个月以前发布,149万,"12,495元/平",118.952262,32.059687,江苏省南京市江宁区第三街区,住宅区
海德卫城精装修三房拎包入住  高楼层景观房,海德卫城 ,3室1厅 | 125.67平米 | 南 | 其他 | 中楼层(共28层)  | 板塔结合,10人关注 / 3个月以前发布,499万,"39,708元/平",118.732888,32.063062,江苏省南京市鼓楼区海德卫城,住宅区
高楼层采光无遮挡，看房方便，小区人车分流,保利中央公园东苑 ,3室1厅 | 94.43平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,28人关注 / 一年前发布,248万,"26,263元/平",118.828548,31.898455,江苏省南京市江宁区保利中央公园东苑,未知
楼层好配套完善，业主诚心卖，近地铁,泰来苑 ,2室2厅 | 93.28平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,2人关注 / 8个月以前发布,95万,"10,185元/平",118.709457,32.144642,江苏省南京市浦口区泰来苑,住宅区
银城花园北 小两房 精装修 南北通透 采光好 诚心售,银城花园北片 ,2室1厅 | 50.05平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 10个月以前发布,180万,"35,965元/平",118.731620,32.053487,江苏省南京市鼓楼区银城花园北片,未知
未来地铁口，次顶楼，视野好，采光充足。,北外滩水城第十八街区 ,2室1厅 | 88.03平米 | 南 | 其他 | 高楼层(共31层)  | 板楼,4人关注 / 4个月以前发布,114万,"12,951元/平",118.754328,32.145422,江苏省南京市浦口区北外滩水城,住宅区
此房满五年 精装修 户型好  楼层好 采光充足 改善置换,大华锦绣华城香邑美颂 ,4室2厅 | 110.78平米 | 南 北 | 其他 | 中楼层(共9层)  | 板楼,1人关注 / 3个月以前发布,242万,"21,846元/平",118.722806,32.107745,江苏省南京市浦口区香邑美颂,住宅区
小高层 次新房 业主诚心出售，户型方正,花语熙岸府 ,3室2厅 | 117.93平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,11人关注 / 2个月以前发布,240万,"20,352元/平",118.655760,32.077999,江苏省南京市浦口区花语熙岸府,住宅区
创维乐活城2-1-1-1 87.08m2 43 万精装2房,创维乐活城 ,2室1厅 | 87.08平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 12天以前发布,43万,"4,938元/平",119.012776,31.689355,江苏省南京市溧水区创维·乐活城,住宅区
世纪东山 精装两房 采光楼层好,世纪东山 ,3室2厅 | 85.98平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,149万,"17,330元/平",118.868572,31.961778,江苏省南京市江宁区世纪东山,住宅区
开发商装修，从未入住，赛开间朝南，户型方正。,万科城月桂苑 ,3室2厅 | 121.51平米 | 南 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 11天以前发布,112万,"9,218元/平",,,,
莺歌苑3房 业主诚心卖 户型方正 得房率高 看房方便,白鹭花园莺歌苑 ,3室1厅 | 78.97平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 3个月以前发布,170万,"21,528元/平",118.742281,32.028578,江苏省南京市建邺区白鹭花园(公交站)莺歌苑,住宅区
电梯洋房 纯毛坯 俯瞰南部新城 全明户型 2014年房龄,大明宏苑 ,2室1厅 | 62.27平米 | 南 | 毛坯 | 高楼层(共8层)  | 板塔结合,19人关注 / 一年前发布,180万,"28,907元/平",118.808623,32.004793,江苏省南京市秦淮区大明宏苑,住宅区
西安门地铁口 三条巷 复成里 低楼层 两房 满五年,复成里 ,2室1厅 | 52.67平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,149万,"28,290元/平",118.801081,32.033857,江苏省南京市秦淮区复成里,住宅区
南部新城 看房方便 全明户型 拎包入住,赞成领尚 ,1室1厅 | 62.01平米 | 南 | 其他 | 中楼层(共25层)  | 塔楼,4人关注 / 3个月以前发布,90万,"14,514元/平",118.799740,32.004583,江苏省南京市秦淮区赞成领尚,住宅区
创维乐活城 电梯房 3室 满2 游府西街 金陵,创维乐活城 ,3室2厅 | 92.86平米 | 南 | 简装 | 低楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,48万,"5,170元/平",119.012776,31.689355,江苏省南京市溧水区创维·乐活城,住宅区
相府营 电梯房  双南双阳台  三房 中楼层 有环境,安将军巷 ,3室1厅 | 69.54平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 4个月以前发布,228万,"32,787元/平",118.789502,32.047134,江苏省南京市玄武区安将军巷,道路
城北次新小区，电梯好楼层，拎包入住,远拓橡树城 ,3室2厅 | 111.37平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 12天以前发布,77万,"6,914元/平",119.039697,31.680802,江苏省南京市溧水区远拓·橡树城,住宅区
前排视野，全天采光，带家具和软装！,江畔都会上城 ,3室2厅 | 130.19平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,1人关注 / 3个月以前发布,355万,"27,268元/平",118.666802,32.065849,江苏省南京市浦口区江畔都会上城,住宅区
精装修  好楼层  两房方正居住舒适,中海国际社区一期 ,2室2厅 | 80.23平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,7人关注 / 3个月以前发布,143万,"17,824元/平",118.911503,32.027988,江苏省南京市江宁区中海国际社区一期,住宅区
满五年唯一 省税 正规好小区 闹中取静 全明户型,水佐岗48巷5号 ,2室1厅 | 55.99平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,160万,"28,577元/平",118.766014,32.070420,江苏省南京市鼓楼区水佐岗48巷5号,门址
采光无任何遮挡，玄武公馆100平以内厅很宽敞的户型,中海玄武公馆A区 ,3室2厅 | 98.06平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,9人关注 / 8个月以前发布,385万,"39,262元/平",118.820344,32.097110,江苏省南京市玄武区中海·玄武公馆a区,门址
蓝天园精装修两房  户型好 楼层好,蓝天园 ,2室1厅 | 65.81平米 | 西北 | 精装 | 低楼层(共7层)  | 塔楼,8人关注 / 10个月以前发布,308万,"46,802元/平",118.747304,32.053299,江苏省南京市鼓楼区蓝天园,住宅区
弘阳物业，二次精装修带墙暖，户型方正，诚意出售,弘阳禹洲时光春晓 ,3室1厅 | 83.1平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,120万,"14,441元/平",,,,
夫子庙地铁口 低总价 大两居 业主诚心出售 看房随时,文思新村 ,2室1厅 | 62.37平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 14天以前发布,109万,"17,477元/平",118.796509,32.029658,江苏省南京市秦淮区文思新村,村庄
精装修三年，未入住，户型方正，弘阳物业，楼层视野好,东方龙湖湾东湖苑 ,2室2厅 | 92.29平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,9人关注 / 一年前发布,175万,"18,962元/平",118.899056,31.918188,江苏省南京市江宁区东方·龙湖湾东湖苑,住宅区
一梯两户，南北通透，得房率高，户型方正,时光澔韵 ,2室1厅 | 86.95平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,12人关注 / 2个月以前发布,239万,"27,488元/平",118.752855,31.985735,江苏省南京市雨花台区时光澔韵,住宅区
南京南站商圈 次新房 河景视野好 二次装修 铂悦秦淮,临淮铂悦府 ,3室2厅 | 123.65平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,470万,"38,011元/平",118.793243,31.958647,江苏省南京市江宁区临淮铂悦府,住宅区
满五年，全朝南，采光不挡，精装修，兴隆大街地铁站,凤凰和熙一期 ,2室2厅 | 86.48平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,6人关注 / 8个月以前发布,365万,"42,207元/平",118.738283,32.015492,江苏省南京市建邺区凤凰和熙,住宅区
金浦御龙湾 F区边户 有钥匙 看房方便 诚心出售,金浦御龙湾F区 ,3室2厅 | 105.68平米 | 南 北 | 简装 | 中楼层(共33层)  | 暂无数据,12人关注 / 一年前发布,248万,"23,468元/平",118.817282,32.110786,江苏省南京市栖霞区金浦·御龙湾F区,住宅区
居家精装 拎包入住 中间楼层 视野采光好 诚心卖,海悦花园 ,3室2厅 | 86.83平米 | 南 北 | 精装 | 中楼层(共20层)  | 板塔结合,3人关注 / 7个月以前发布,159万,"18,312元/平",118.796624,32.059344,江苏省南京市,市
弘阳燕江府 电梯刷卡入户 全天采光 视野好  南师 诚售,弘阳燕江府 ,4室1厅 | 123.58平米 | 南 | 简装 | 高楼层(共34层)  | 塔楼,3人关注 / 13天以前发布,279万,"22,577元/平",118.827654,32.138121,江苏省南京市栖霞区弘阳燕江府,住宅区
非顶楼 飞机户型 三房两卫 精装 有储藏室车位,天印花园 ,3室1厅 | 111.96平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,215万,"19,204元/平",118.855603,31.937267,江苏省南京市江宁区天印花园,住宅区
将军大道S1 托乐嘉 香山美墅带院子跃层 采光不遮挡,香山美墅 ,4室2厅 | 149.58平米 | 南 北 | 精装 | 5层  | 板楼,39人关注 / 一年前发布,460万,"30,753元/平",,,,
婚装两房改三房 好楼层 无个税 诚心卖,弘阳旭日上城一区 ,3室2厅 | 88.29平米 | 南 | 精装 | 中楼层(共10层)  | 板楼,3人关注 / 2个月以前发布,155万,"17,556元/平",118.735141,32.139131,江苏省南京市浦口区弘阳·旭日上城一区,住宅区
央企保利精装小三室 带地暖新风 地铁口 南北通风,保利中央公园东苑 ,3室2厅 | 88.61平米 | 南 北 | 精装 | 低楼层(共34层)  | 塔楼,17人关注 / 4个月以前发布,230万,"25,957元/平",118.828548,31.898455,江苏省南京市江宁区保利中央公园东苑,未知
中上楼层 采光好 视野佳 业主诚售 配套好,江畔明珠广场 ,3室1厅 | 123.31平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,199万,"16,139元/平",118.733063,32.129170,江苏省南京市浦口区江畔明珠广场,住宅区
江北新区 大华香邑美颂 精装小三房 随时看房,大华锦绣华城香邑美颂 ,3室1厅 | 82.56平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,155万,"18,775元/平",118.722806,32.107745,江苏省南京市浦口区香邑美颂,住宅区
中间楼层  采光无遮挡  业主诚心出售,弘瑞广场 ,2室2厅 | 81.72平米 | 南 北 | 简装 | 中楼层(共10层)  | 板楼,0人关注 / 23天以前发布,290万,"35,488元/平",118.746895,32.017240,江苏省南京市建邺区弘瑞广场,兴趣点
业主诚心卖房 价格含车 楼层位置好 视野开阔 采光好,正荣润江城 ,4室2厅 | 142.91平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,1人关注 / 9个月以前发布,428万,"29,949元/平",118.673937,32.058662,江苏省南京市浦口区正荣·润江城,住宅区
蔡家花园 祠堂巷 游府新村 下楼到校  双南一北户型正,游府新村 ,3室1厅 | 61.34平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,2人关注 / 2个月以前发布,378万,"61,624元/平",118.790749,32.037822,江苏省南京市秦淮区游府新村,村庄
出则繁华入则宁静十年难出一套湖景院子房 看了才震撼,文化名园 ,4室2厅 | 129.43平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,5人关注 / 15天以前发布,580万,"44,812元/平",118.811521,31.930043,江苏省南京市江宁区文化名园,住宅区
中间楼层 业主诚售 无个税 采光好 急售急售,江宁金茂悦 ,3室2厅 | 116.9平米 | 南 | 其他 | 中楼层(共26层)  | 板楼,6人关注 / 6个月以前发布,210万,"17,965元/平",118.889063,31.959342,江苏省南京市江宁区江宁金茂悦,住宅区
茶南经典小两房 总价低 靠地铁,兆园 ,2室1厅 | 50.58平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,14人关注 / 一年前发布,125万,"24,714元/平",118.750178,32.030891,江苏省南京市建邺区兆园,住宅区
双南卧室，采光很好，户型方正，业主诚心出售,上元里 ,2室1厅 | 56.53平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 16天以前发布,86万,"15,214元/平",118.773598,32.112321,江苏省南京市鼓楼区上元里,住宅区
江宁区 银河湾花园 单室套 一室一厅 商品房 三成首付,银河湾花园 ,1室1厅 | 46.92平米 | 南 | 其他 | 中楼层(共16层)  | 板塔结合,3人关注 / 一年前发布,51万,"10,870元/平",118.930276,32.050884,江苏省南京市江宁区银河湾花园,住宅区
此房满五 楼层佳 采光好 视野开阔 业主诚心出售,幕府一村 ,2室1厅 | 65.11平米 | 南 | 毛坯 | 高楼层(共4层)  | 板塔结合,6人关注 / 一年前发布,105万,"16,127元/平",,,,
毛坯三房  中间楼层  此房格局好  采光充足无遮挡,锦绣时代 ,3室1厅 | 90.19平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,11人关注 / 一年前发布,175万,"19,404元/平",118.741526,32.154913,江苏省南京市浦口区锦绣时代(西门),兴趣点
融创玉兰公馆 非顶楼 视野佳采光足 自住房 一梯一户,融创玉兰公馆一期 ,4室1厅 | 125.43平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 2个月以前发布,390万,"31,094元/平",118.828320,32.136706,江苏省南京市栖霞区融创玉兰公馆一期,住宅区
定淮门大街，中间楼层，阳光正好，诚心出售,定淮门大街 ,2室1厅 | 55.72平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,6人关注 / 10个月以前发布,320万,"57,431元/平",118.739350,32.065042,江苏省南京市鼓楼区定淮门大街,道路
满5年 正规3房 地铁站300米龙湖天街旁,万欣花园 ,3室2厅 | 93.95平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,4人关注 / 1个月以前发布,192万,"20,437元/平",118.842868,31.934810,江苏省南京市江宁区万欣花园,住宅区
